TypPS,oxygen,pm10,cnt0_5,co,temperature,performance,co2,measuretime,so2,no2,cnt5,timestamp,pm1,cnt1,dewpt,tvoc,pressure,cnt10,dCO2dt,sound_max,health,temperature_o2,cnt2_5,o3,humidity,dHdt,humidity_abs,sound,pm2_5,cnt0_3
1.698,20.878,8.995,365.457,1.702,22.292,712.0,529.809,1872,437.054,73.936,1.14,2023-06-24 03:01:19,7.189,35.258,15.222,196.945,1004.32,0.716,-0.11,59.5,653.0,26.496,1.251,27.986,65.733,-0.06,13.027,51.72,8.454,1140.03
2.018,20.881,8.948,341.091,1.697,22.22,711.0,529.363,1877,433.768,76.528,1.871,2023-06-24 03:03:19,6.899,33.221,15.235,190.954,1004.32,0.29,-18.75,62.6,653.0,26.375,2.594,27.967,66.077,0.01,13.041,52.12,8.018,1067.34
2.488,20.877,9.509,338.636,1.694,22.18,707.0,535.622,1855,433.765,78.736,1.476,2023-06-24 03:05:19,6.884,33.893,15.21,199.496,1004.32,0.626,0.38,58.6,647.0,26.296,2.518,27.854,66.13,-0.01,13.022,51.891,7.901,1050.03
1.482,20.881,7.969,321.293,1.691,22.158,705.0,538.413,1854,433.648,80.868,0.308,2023-06-24 03:07:20,6.498,30.617,15.196,189.139,1004.33,0.069,25.78,55.2,638.0,26.244,0.423,27.83,66.161,-0.06,13.011,52.253,7.678,996.306
1.831,20.881,8.197,328.458,1.689,22.136,704.0,539.172,1870,432.317,82.521,0.488,2023-06-24 03:09:20,6.877,21.746,15.194,177.207,1004.35,0.257,25.71,57.2,629.0,26.21,1.056,27.865,66.238,-0.09,13.01,51.365,7.492,1010.57
1.668,20.881,7.42,311.75,1.688,22.116,705.0,537.4,1850,430.214,83.457,0.312,2023-06-24 03:11:21,6.211,22.473,15.182,170.132,1004.37,0.109,7.53,58.1,626.0,26.202,0.967,27.952,66.27,-0.05,13.002,51.804,6.907,968.815
2.217,20.889,9.987,363.397,1.684,22.105,706.0,536.825,1875,426.24,83.62,1.585,2023-06-24 03:13:22,7.518,31.949,15.172,162.045,1004.36,1.286,-8.79,57.6,618.0,26.2,1.857,28.086,66.273,-0.05,12.993,51.646,8.75,1138.6
2.337,20.893,9.425,335.227,1.682,22.086,709.0,532.094,1871,421.488,82.775,0.641,2023-06-24 03:15:21,6.988,36.083,15.154,144.84,1004.35,0.605,-17.9,56.0,628.0,26.188,2.515,28.439,66.273,-0.09,12.98,51.999,8.166,1053.64
2.602,20.889,11.051,357.099,1.681,22.066,707.0,528.657,1874,416.776,82.094,1.687,2023-06-24 03:17:21,7.267,42.883,15.16,128.149,1004.36,1.131,-26.8,58.5,629.0,26.175,2.393,28.913,66.374,-0.06,12.985,51.995,9.239,1112.26
2.151,20.893,10.606,367.813,1.68,22.039,709.0,523.819,1886,410.661,81.494,1.519,2023-06-24 03:19:22,7.408,44.767,15.143,123.87,1004.36,0.129,-36.33,58.2,629.0,26.138,2.361,29.35,66.418,-0.05,12.972,51.819,9.543,1155.72
2.179,20.893,9.491,351.22,1.68,22.011,705.0,523.305,1873,406.388,80.69,0.932,2023-06-24 03:21:23,7.111,34.878,15.16,128.665,1004.36,0.014,-30.18,61.0,634.0,26.11,2.081,29.676,66.599,0.01,12.987,51.797,8.466,1084.56
1.399,20.891,8.318,345.357,1.681,21.986,699.0,527.023,1861,404.447,79.762,0.27,2023-06-24 03:23:23,7.312,22.708,15.156,137.606,1004.36,0.165,-5.34,58.9,638.0,26.063,0.401,29.895,66.686,0.02,12.985,51.919,8.019,1067.17
1.647,20.891,8.701,351.119,1.681,21.978,702.0,526.27,1859,400.79,78.478,0.326,2023-06-24 03:25:23,7.149,33.613,15.095,132.673,1004.34,0.019,12.06,55.0,643.0,26.034,1.078,30.158,66.458,-0.08,12.935,51.718,8.233,1092.99
2.267,20.897,10.651,376.395,1.678,21.965,719.0,512.789,1887,389.84,75.421,2.677,2023-06-24 03:27:23,7.652,42.51,14.963,111.161,1004.32,1.615,-19.75,61.8,637.0,26.009,3.688,30.656,65.949,-0.42,12.826,51.694,9.227,1169.67
1.867,20.897,9.651,361.919,1.677,21.937,731.0,500.674,1870,376.946,71.687,1.429,2023-06-24 03:29:23,7.491,36.953,14.858,90.472,1004.31,0.184,-73.38,60.8,645.0,25.986,1.888,31.457,65.615,-0.7,12.741,52.233,8.784,1119.13
2.286,20.894,9.41,328.706,1.674,21.918,732.0,495.141,1856,366.96,69.099,1.501,2023-06-24 03:31:25,7.25,34.903,14.823,85.53,1004.32,0.73,-91.48,54.7,656.0,25.945,1.552,32.243,65.54,-0.64,12.713,51.818,8.168,1036.57
2.452,20.892,9.802,343.899,1.672,21.901,727.0,497.396,1866,359.212,67.103,1.287,2023-06-24 03:33:25,7.195,34.387,14.816,87.464,1004.34,1.027,-50.3,56.3,658.0,25.917,1.542,32.833,65.578,-0.34,12.708,52.741,8.31,1060.35
1.928,20.891,9.538,366.506,1.672,21.893,723.0,497.076,1885,354.829,65.718,0.627,2023-06-24 03:35:24,7.144,41.161,14.819,92.003,1004.34,0.121,-10.78,58.2,661.0,25.907,2.587,33.384,65.626,-0.08,12.71,52.114,8.734,1136.54
1.365,20.896,8.668,357.597,1.671,21.887,720.0,497.353,1876,351.518,64.558,0.072,2023-06-24 03:37:25,7.08,34.42,14.813,95.278,1004.34,0.014,6.21,58.7,664.0,25.899,0.685,33.8,65.622,-0.01,12.706,52.114,8.52,1101.49
1.369,20.893,9.035,353.512,1.671,21.881,719.0,497.235,1870,347.552,63.077,0.205,2023-06-24 03:39:25,7.641,30.541,14.812,106.45,1004.35,0.002,2.02,56.6,641.0,25.892,0.601,33.935,65.645,-0.01,12.705,52.369,8.82,1109.94
1.416,20.89,8.713,337.864,1.671,21.885,714.0,501.81,1866,344.666,61.485,0.023,2023-06-24 03:41:25,6.774,32.947,14.828,119.201,1004.36,0.0,10.81,58.2,677.0,25.89,1.538,33.946,65.692,0.01,12.718,52.032,8.599,1054.81
1.312,20.891,8.293,357.792,1.672,21.902,706.0,509.626,1898,344.397,61.343,0.156,2023-06-24 03:43:25,7.05,34.237,14.862,133.085,1004.35,0.0,34.48,56.1,666.0,25.905,0.335,33.847,65.772,0.12,12.746,50.976,8.175,1118.22
1.764,20.892,8.524,342.188,1.673,21.925,705.0,511.992,1856,346.386,61.387,1.673,2023-06-24 03:45:27,7.129,24.024,14.886,148.381,1004.36,0.14,43.48,56.3,662.0,25.925,2.245,33.502,65.78,0.17,12.764,51.944,7.789,1083.87
1.657,20.887,10.096,366.97,1.674,21.953,705.0,514.48,1885,347.83,61.296,0.898,2023-06-24 03:47:28,7.597,48.827,14.911,156.991,1004.39,0.016,35.24,59.7,643.0,25.982,1.899,33.116,65.777,0.18,12.784,51.961,9.671,1154.82
2.208,20.886,11.444,356.795,1.676,21.973,705.0,515.375,1883,348.453,60.984,1.058,2023-06-24 03:49:26,7.472,44.42,14.93,160.135,1004.41,0.684,16.86,56.5,649.0,25.993,2.662,32.78,65.776,0.15,12.799,52.047,10.076,1113.22
1.802,20.887,8.605,361.165,1.675,21.981,705.0,518.321,1898,349.07,60.21,0.317,2023-06-24 03:51:27,7.009,29.152,14.937,161.316,1004.42,0.078,16.5,55.8,667.0,26.004,1.619,32.439,65.775,0.11,12.804,51.877,7.897,1130.47
1.91,20.894,9.831,371.765,1.676,21.986,703.0,521.247,1886,347.388,58.808,0.709,2023-06-24 03:53:27,7.898,32.615,14.941,161.613,1004.43,0.009,17.72,55.7,631.0,26.006,2.556,32.291,65.774,0.07,12.808,51.427,8.979,1156.13
1.694,20.887,9.568,382.003,1.676,21.985,709.0,514.316,1878,342.763,56.771,0.537,2023-06-24 03:55:28,7.912,31.519,14.932,148.492,1004.43,0.283,-0.26,61.5,630.0,26.002,0.748,32.34,65.735,0.01,12.8,51.933,9.019,1177.73
2.035,20.885,10.107,382.899,1.676,21.959,716.0,506.746,1890,333.914,54.761,0.373,2023-06-24 03:57:29,7.638,35.102,14.893,128.247,1004.41,0.216,-32.83,60.3,641.0,25.975,2.492,32.585,65.673,-0.09,12.768,51.649,9.153,1187.94
1.367,20.883,9.343,372.828,1.674,21.92,719.0,500.315,1887,324.714,52.071,0.169,2023-06-24 03:59:29,7.822,32.764,14.867,109.604,1004.39,0.026,-56.99,62.9,634.0,25.944,1.002,33.04,65.723,-0.17,12.749,51.918,9.126,1165.29
1.506,20.888,9.188,378.271,1.674,21.89,717.0,498.414,1896,319.418,50.278,0.02,2023-06-24 04:01:28,7.811,33.234,14.864,106.496,1004.35,0.003,-47.92,56.7,634.0,25.893,0.871,33.477,65.832,-0.16,12.748,52.172,8.831,1172.04
1.632,20.887,8.945,368.566,1.673,21.864,713.0,499.527,1867,314.614,49.625,0.573,2023-06-24 04:03:30,7.32,31.352,14.858,103.037,1004.32,0.0,-22.18,56.2,654.0,25.836,0.667,33.832,65.906,-0.07,12.744,51.43,8.482,1142.89
1.933,20.893,10.394,371.487,1.673,21.841,711.0,500.821,1869,311.349,49.07,0.906,2023-06-24 04:05:29,7.863,40.241,14.842,101.645,1004.31,0.728,2.37,57.0,633.0,25.803,2.598,34.077,65.935,-0.04,12.732,51.73,9.634,1158.79
1.901,20.894,11.016,365.514,1.674,21.831,710.0,500.269,1880,309.945,49.755,0.76,2023-06-24 04:07:30,7.493,41.954,14.833,103.444,1004.3,0.439,7.13,60.8,647.0,25.791,3.424,34.265,65.938,-0.06,12.725,52.71,10.229,1145.47
2.147,20.894,10.661,352.583,1.673,21.831,709.0,501.871,1890,310.414,50.606,1.69,2023-06-24 04:09:29,7.332,46.645,14.843,117.728,1004.3,0.789,7.61,58.4,654.0,25.785,3.461,34.098,65.981,-0.04,12.734,51.905,9.464,1093.14
1.711,20.89,8.111,328.605,1.675,21.846,705.0,507.0,1862,313.8,51.134,0.193,2023-06-24 04:11:30,6.669,28.022,14.866,124.395,1004.31,0.09,14.69,56.3,683.0,25.808,1.157,33.903,66.015,0.05,12.751,52.351,7.604,1025.19
1.899,20.89,10.382,365.692,1.675,21.859,699.0,514.662,1875,316.596,51.531,0.697,2023-06-24 04:13:30,7.755,41.019,14.879,128.365,1004.3,0.01,39.29,55.4,637.0,25.842,2.918,33.61,66.017,0.11,12.762,51.425,9.585,1135.45
1.592,20.89,9.17,361.202,1.676,21.876,702.0,514.777,1851,316.623,51.777,0.587,2023-06-24 04:15:31,7.735,28.643,14.874,136.304,1004.3,0.001,37.56,54.8,637.0,25.866,0.833,33.347,65.925,0.07,12.756,51.205,8.689,1132.88
2.232,20.888,9.775,355.985,1.676,21.886,707.0,512.404,1859,316.266,51.447,1.256,2023-06-24 04:17:31,7.318,34.476,14.864,140.296,1004.31,0.664,15.41,56.7,654.0,25.879,1.426,33.118,65.844,0.0,12.748,51.556,8.605,1123.51
2.482,20.883,9.632,351.21,1.676,21.897,709.0,511.983,1879,316.105,50.793,1.466,2023-06-24 04:19:32,7.453,36.015,14.861,140.128,1004.31,0.46,-10.41,56.2,649.0,25.902,2.151,32.882,65.788,-0.05,12.745,51.78,8.149,1098.03
1.62,20.883,9.23,355.151,1.677,21.904,711.0,512.195,1882,313.898,49.991,0.267,2023-06-24 04:21:33,7.241,41.045,14.847,134.3,1004.3,0.153,-5.36,55.7,658.0,25.912,0.715,32.773,65.701,-0.05,12.734,52.057,8.819,1107.95
1.764,20.885,9.656,369.711,1.677,21.902,713.0,509.873,1887,309.77,48.848,0.905,2023-06-24 04:23:33,7.593,40.503,14.837,130.113,1004.27,0.128,-6.4,54.9,644.0,25.909,2.108,32.815,65.666,-0.07,12.725,51.503,9.085,1154.44
1.555,20.884,10.649,376.746,1.677,21.895,715.0,508.059,1898,305.391,47.697,0.375,2023-06-24 04:25:33,8.119,41.106,14.828,128.904,1004.24,0.015,-11.39,56.6,622.0,25.907,1.115,32.898,65.655,-0.08,12.717,51.689,10.351,1174.8
1.599,20.882,9.774,376.983,1.676,21.884,714.0,508.992,1875,302.295,46.319,0.665,2023-06-24 04:27:34,7.169,44.627,14.826,129.992,1004.23,0.461,-13.95,58.3,662.0,25.877,1.378,32.871,65.687,-0.07,12.716,51.821,9.365,1168.03
1.879,20.884,10.481,383.474,1.676,21.881,711.0,511.694,1879,302.602,45.297,0.785,2023-06-24 04:29:34,7.798,41.038,14.837,136.984,1004.22,0.276,3.86,56.7,635.0,25.873,1.401,32.762,65.747,0.0,12.725,51.712,9.69,1197.65
1.846,20.889,8.963,353.208,1.677,21.891,712.0,512.98,1864,304.698,44.865,0.548,2023-06-24 04:31:33,7.421,30.567,14.834,142.317,1004.22,0.032,15.63,57.8,651.0,25.884,1.904,32.546,65.697,0.03,12.723,51.807,8.247,1110.59
1.725,20.885,10.303,360.63,1.679,21.903,715.0,511.222,1865,303.165,44.449,0.925,2023-06-24 04:33:35,7.414,40.056,14.826,141.041,1004.23,0.004,8.07,59.3,650.0,25.921,2.521,32.39,65.618,0.01,12.716,52.131,9.869,1143.64
1.858,20.884,8.681,334.426,1.679,21.914,717.0,511.706,1878,301.879,44.147,1.156,2023-06-24 04:35:34,6.778,29.962,14.817,139.689,1004.25,0.0,-1.01,56.0,678.0,25.921,1.534,32.258,65.535,-0.05,12.709,52.866,8.028,1049.69
1.885,20.883,9.922,364.469,1.679,21.918,719.0,508.498,1881,298.569,43.827,0.567,2023-06-24 04:37:34,7.449,37.87,14.836,142.628,1004.28,0.0,-9.56,55.6,649.0,25.918,1.25,32.239,65.601,-0.01,12.724,52.496,9.193,1145.16
1.827,20.883,9.125,359.768,1.678,21.911,721.0,505.882,1887,294.809,43.421,0.488,2023-06-24 04:39:34,7.073,32.955,14.833,139.856,1004.32,0.0,-19.39,55.9,665.0,25.923,1.37,32.174,65.614,0.03,12.721,52.403,8.454,1121.72
2.089,20.882,10.057,359.218,1.678,21.915,717.0,513.683,1878,296.414,43.349,0.538,2023-06-24 04:41:35,7.065,44.004,14.82,145.875,1004.35,0.482,2.51,56.3,665.0,25.92,3.347,31.955,65.541,0.01,12.71,52.68,9.042,1123.29
1.547,20.884,10.753,398.366,1.679,21.927,716.0,515.643,1895,296.646,43.55,0.562,2023-06-24 04:43:35,8.442,45.88,14.827,148.88,1004.34,0.057,23.31,56.7,609.0,25.931,1.642,31.841,65.524,-0.02,12.716,52.221,10.32,1244.68
2.062,20.884,10.199,388.003,1.678,21.93,721.0,511.725,1885,294.77,43.483,0.713,2023-06-24 04:45:34,7.89,38.961,14.806,143.376,1004.34,0.435,21.61,58.6,631.0,25.942,1.345,31.839,65.423,-0.06,12.698,52.112,9.164,1211.68
1.684,20.883,9.006,352.053,1.678,21.918,724.0,508.827,1867,292.642,42.609,0.77,2023-06-24 04:47:34,6.771,34.666,14.789,138.142,1004.34,0.05,-15.74,56.8,678.0,25.922,1.362,31.864,65.399,-0.07,12.685,52.408,8.583,1096.28
2.109,20.888,8.799,351.922,1.679,21.915,724.0,509.713,1892,291.11,42.264,1.117,2023-06-24 04:49:36,6.644,32.957,14.785,137.051,1004.34,0.768,-17.98,59.0,683.0,25.922,1.603,31.837,65.396,-0.1,12.682,52.272,7.929,1099.45
1.442,20.884,9.305,357.011,1.679,21.912,720.0,513.321,1876,290.027,42.23,0.132,2023-06-24 04:51:35,7.299,36.015,14.783,136.803,1004.34,0.091,2.87,57.4,655.0,25.919,1.2,31.843,65.4,-0.06,12.681,52.097,9.155,1115.08
1.863,20.888,10.016,369.081,1.679,21.91,718.0,515.434,1882,289.558,42.231,0.562,2023-06-24 04:53:36,7.363,49.628,14.795,142.453,1004.35,0.01,20.14,55.3,652.0,25.922,3.417,31.753,65.456,0.01,12.69,51.876,9.338,1156.26
1.31,20.886,9.372,373.457,1.68,21.921,719.0,515.257,1892,289.881,42.612,0.064,2023-06-24 04:55:37,7.772,34.188,14.795,148.495,1004.36,0.001,14.46,57.3,636.0,25.937,0.626,31.626,65.413,0.02,12.69,51.525,9.277,1164.29
1.229,20.884,8.656,369.187,1.681,21.932,716.0,520.027,1863,289.329,43.183,0.007,2023-06-24 04:57:37,7.371,34.763,14.803,150.08,1004.35,0.0,15.87,57.1,652.0,25.938,0.072,31.427,65.404,0.04,12.696,51.791,8.645,1143.2
1.222,20.884,8.171,361.656,1.68,21.936,715.0,521.991,1865,289.222,43.413,0.001,2023-06-24 04:59:37,6.953,30.866,14.805,151.848,1004.35,0.0,20.18,57.2,670.0,25.953,0.008,31.325,65.394,0.03,12.697,52.553,8.17,1126.52
1.704,20.884,10.234,393.51,1.68,21.938,717.0,521.28,1865,288.597,43.116,0.327,2023-06-24 05:01:38,8.18,42.761,14.806,149.994,1004.36,0.0,20.31,56.1,621.0,25.949,0.904,31.171,65.392,0.02,12.698,52.14,9.645,1218.9
1.256,20.884,8.436,355.603,1.68,21.933,719.0,517.893,1848,286.503,42.633,0.037,2023-06-24 05:03:37,7.437,34.541,14.802,143.176,1004.36,0.0,-3.76,59.6,649.0,25.954,0.239,31.302,65.393,-0.01,12.695,52.658,8.321,1107.78
1.877,20.886,11.641,404.266,1.679,21.927,721.0,513.353,1882,284.181,42.521,0.917,2023-06-24 05:05:38,8.407,49.968,14.796,132.148,1004.35,0.913,-21.85,56.4,610.0,25.933,1.578,31.641,65.394,-0.02,12.691,52.308,10.79,1267.81
1.792,20.888,10.884,390.55,1.677,21.902,723.0,508.386,1891,278.22,42.167,0.532,2023-06-24 05:07:38,8.262,42.263,14.785,123.046,1004.35,0.194,-36.37,55.6,616.0,25.894,1.695,32.088,65.446,-0.04,12.683,51.672,10.212,1216.78
1.817,20.887,10.416,393.421,1.676,21.864,720.0,507.022,1893,273.074,41.412,0.81,2023-06-24 05:09:38,7.881,46.016,14.778,110.98,1004.35,0.023,-31.12,55.5,631.0,25.854,1.919,32.537,65.568,-0.05,12.678,51.604,9.758,1236.8
1.847,20.886,11.945,428.068,1.673,21.811,723.0,500.035,1857,266.423,41.143,0.601,2023-06-24 05:11:40,9.063,48.74,14.766,103.549,1004.37,0.213,-36.46,55.7,584.0,25.794,1.89,32.959,65.73,-0.06,12.671,51.891,11.117,1330.64
2.304,20.884,11.727,406.881,1.672,21.768,718.0,502.243,1879,261.78,41.079,1.245,2023-06-24 05:13:39,8.695,45.466,14.76,106.192,1004.38,1.051,-20.53,55.6,599.0,25.752,3.643,33.219,65.881,-0.04,12.668,51.85,10.22,1268.36
1.726,20.886,11.767,419.648,1.671,21.735,715.0,503.257,1876,259.597,42.13,0.764,2023-06-24 05:15:40,8.898,44.02,14.762,107.287,1004.38,0.12,-7.89,55.8,592.0,25.709,1.825,33.34,66.017,-0.02,12.671,51.648,11.148,1305.98
2.282,20.887,11.157,382.504,1.669,21.707,714.0,504.906,1893,258.488,42.856,1.357,2023-06-24 05:17:39,8.214,43.954,14.744,113.685,1004.39,0.014,14.65,60.5,618.0,25.701,2.689,33.336,66.055,-0.03,12.657,51.849,9.768,1189.18
2.027,20.887,11.231,390.409,1.669,21.695,712.0,505.678,1882,257.794,44.295,1.327,2023-06-24 05:19:40,8.573,41.556,14.757,111.852,1004.39,0.928,14.28,56.4,604.0,25.697,2.088,33.303,66.159,-0.01,12.669,51.665,10.154,1211.4
